CNTSTUID;CNTSCHID;STRATUM;STU_GENDER;ISCEDP;REPEAT;EXERPRAC;RELATST;BULLIED;FAMSUP;HISCED;ICTRES;ESCS;SCHLTYPE;SCHSIZE;TOTAT;PROATCE;STRATIO;STAFFSHORT;EDUSHORT;SCPREPBP;SCPREPAP;PROBSCRI;CV19_ONLINE_CLASS;CV19_CANCELLED_CLASS;TC_GENDER_MEAN;TC_AGE_MEAN;TC_EXP_MEAN;TC_PERM_PERC;PV1MATH;PV2MATH;PV3MATH;PV4MATH;PV5MATH;PV6MATH;PV7MATH;PV8MATH;PV9MATH;PV10MATH;PV1FLIT;PV2FLIT;PV3FLIT;PV4FLIT;PV5FLIT;PV6FLIT;PV7FLIT;PV8FLIT;PV9FLIT;PV10FLIT;PV1CRTH_NC;PV2CRTH_NC;PV3CRTH_NC;PV4CRTH_NC;PV5CRTH_NC;PV6CRTH_NC;PV7CRTH_NC;PV8CRTH_NC;PV9CRTH_NC;PV10CRTH_NC
62002008.0;62000087.0;PRT03;1.0;344.0;0.0;4.0;0.0423;-1.228;-0.8989;5.0;-0.9086;-1.0701;3.0;2660.0;186.0;0.9839;14.3011;2.0786;0.8339;;;;;;1.4444444444444444;50.111111111111114;20.666666666666668;0.5555555555555556;482.492;446.582;471.465;465.833;455.791;476.258;482.981;457.404;508.978;499.52;;;;;;;;;;;22.1;23.8;14.3;23.0;13.3;20.3;19.6;20.8;24.7;17.8
62002009.0;62000026.0;PRT07;1.0;244.0;0.0;7.0;-0.1728;-0.1325;-1.4039;9.0;0.4404;0.2125;3.0;1858.0;152.5;0.9672;12.1836;0.3399;0.3885;0.4638;0.8462;-0.5687;5.0;1.0;;;;;304.39;352.928;315.815;353.447;393.825;308.384;322.861;303.871;325.626;336.016;;;;;;;;;;;11.7;10.2;11.2;14.3;22.1;9.8;10.9;10.7;10.4;15.4
62002012.0;62000026.0;PRT07;2.0;244.0;1.0;8.0;-1.4148;-0.5168;-0.2897;3.0;0.0528;-1.3291;3.0;1858.0;152.5;0.9672;12.1836;0.3399;0.3885;0.4638;0.8462;-0.5687;5.0;1.0;;;;;305.02;295.94;326.86;347.86;351.105;349.395;296.531;287.976;322.769;289.727;;;;;;;;;;;20.1;18.7;12.8;17.8;16.9;18.3;12.6;18.8;18.9;16.5
62002013.0;62000027.0;PRT08;1.0;344.0;0.0;3.0;1.5749;-1.228;-0.2328;8.0;-0.5866;1.0428;3.0;2714.0;237.5;1.0;11.4274;1.2432;0.1;-0.8314;-0.4247;0.992;5.0;1.0;1.2222222222222223;53.833333333333336;29.833333333333332;0.7777777777777778;595.476;542.08;555.726;595.658;490.33;513.893;553.863;519.532;586.226;546.174;;;;;;;;;;;46.9;45.2;49.1;41.6;23.3;45.8;47.5;49.9;45.2;46.5
62002014.0;62000142.0;PRT07;2.0;344.0;0.0;4.0;-0.3137;-1.228;-0.9146;9.0;0.4658;1.0108;3.0;1107.0;101.5;1.0;10.9064;1.0815;0.4292;0.7499;-0.1008;-0.2084;5.0;1.0;1.1666666666666667;50.22222222222222;24.764705882352942;0.6111111111111112;540.036;586.485;568.186;568.5;582.902;558.559;563.685;531.553;552.125;564.782;;;;;;;;;;;42.2;40.6;47.5;42.5;44.7;51.4;43.0;39.4;43.5;51.1
62002015.0;62000219.0;PRT03;2.0;344.0;0.0;10.0;0.3268;0.996;0.0844;9.0;1.0709;1.46;3.0;1091.0;288.0;1.0;3.7882;1.75;0.1;0.6868;0.8462;0.7965;5.0;1.0;1.1363636363636365;54.27272727272727;27.09090909090909;0.6818181818181818;733.854;701.775;670.489;701.338;711.959;699.47;681.57;665.981;680.718;676.137;;;;;;;;;;;54.1;49.7;47.6;45.9;48.9;41.0;47.7;39.4;39.7;39.7
62002016.0;62000187.0;PRT08;1.0;344.0;0.0;1.0;2.3539;-1.228;0.3309;8.0;0.8267;1.2042;3.0;1030.0;152.0;0.9868;6.7763;1.2805;2.9595;;;;;;1.2380952380952381;52.19047619047619;26.80952380952381;0.7142857142857143;568.095;538.776;587.178;556.795;554.199;522.083;523.987;576.027;550.479;577.833;;;;;;;;;;;47.9;44.9;44.2;49.6;44.3;51.2;52.0;48.8;48.7;48.5
62002018.0;62000136.0;PRT13;1.0;344.0;0.0;1.0;-0.2467;0.6616;1.0069;4.0;0.0146;-0.4016;3.0;2617.0;255.0;0.9725;10.2627;0.592;0.8339;-0.8314;0.8462;-0.5687;5.0;1.0;1.2;51.65;26.15;0.7;491.737;533.507;571.556;511.695;529.703;508.731;525.735;507.515;506.617;536.745;;;;;;;;;;;47.7;40.7;49.2;46.0;49.0;44.2;45.1;48.1;46.6;49.1
62002020.0;62000066.0;PRT08;2.0;344.0;0.0;10.0;0.8509;-1.228;-0.4099;5.0;-0.2249;-0.1107;3.0;1896.0;293.5;1.0;6.46;0.4487;0.1;0.4563;0.8462;0.1896;5.0;1.0;1.15;54.6;28.7;0.7142857142857143;547.878;491.274;482.962;503.322;505.525;498.776;544.111;509.897;470.2;493.36;;;;;;;;;;;36.5;26.9;41.0;39.3;25.8;37.3;38.1;34.2;41.0;27.7
62002024.0;62000203.0;PRT18;1.0;244.0;1.0;0.0;-0.5196;1.1283;0.4748;3.0;-0.5901;-2.1967;3.0;242.0;45.0;0.8667;5.3778;-1.4551;-1.4212;;;;;;;;;;388.957;368.458;353.966;328.312;350.111;362.961;375.562;329.404;345.117;375.182;;;;;;;;;;;26.8;30.5;24.2;25.4;20.8;24.5;20.3;22.3;34.6;25.0
62002025.0;62000123.0;PRT08;2.0;344.0;0.0;3.0;1.9298;-1.228;1.685;3.0;-0.8134;-0.5355;3.0;1231.0;106.0;0.0;11.6132;0.6736;0.2681;;;;;;1.2727272727272727;52.5;28.045454545454547;0.8181818181818182;562.567;574.25;580.914;564.205;626.879;573.796;614.312;558.315;596.555;614.647;;;;;;;;;;;37.5;39.8;44.6;37.5;48.9;35.5;46.8;46.5;29.3;41.1
62002028.0;62000199.0;PRT01;1.0;344.0;0.0;5.0;0.214;-1.228;0.8842;10.0;-0.1126;-0.3733;3.0;2700.0;284.0;0.9155;9.507;1.2579;1.0283;-0.8314;0.1102;-0.5687;5.0;1.0;1.4;54.85;29.65;0.9;528.204;451.82;551.636;493.496;580.986;547.2;489.853;539.424;514.636;460.41;;;;;;;;;;;39.0;43.2;41.1;42.8;45.3;43.6;48.1;42.7;26.1;43.5
62002029.0;62000157.0;PRT23;1.0;344.0;0.0;2.0;0.3739;-0.391;0.0321;3.0;-0.4797;-1.6488;3.0;1543.0;163.0;0.9969;9.4663;1.8453;0.7566;-0.8314;0.8462;-0.5687;5.0;1.0;1.263157894736842;46.78947368421053;21.157894736842106;0.7368421052631579;485.224;496.745;494.687;487.988;452.867;478.747;538.944;519.874;504.199;462.349;;;;;;;;;;;52.5;48.1;48.5;48.4;53.8;44.4;51.6;50.0;49.4;52.2
62002030.0;62000005.0;PRT13;1.0;244.0;1.0;6.0;2.3754;-1.228;1.7871;9.0;-0.8712;-0.3328;3.0;1299.0;325.0;1.0;3.9969;0.8439;-0.2376;0.2986;0.8462;0.0436;5.0;1.0;1.2;54.93333333333333;31.933333333333334;0.9333333333333333;394.676;393.874;405.839;439.109;399.735;422.115;379.288;405.474;399.686;334.789;;;;;;;;;;;36.2;26.7;35.9;31.4;35.3;29.1;19.3;29.8;23.6;31.1
62002032.0;62000109.0;PRT08;2.0;244.0;1.0;10.0;-1.8815;0.4557;;10.0;1.9684;0.1888;3.0;713.0;128.0;0.9688;5.5703;2.5026;0.8339;-0.0648;0.8462;1.0392;5.0;1.0;1.6363636363636365;51.72727272727273;21.363636363636363;0.6363636363636364;365.687;384.622;372.439;351.289;337.776;399.452;354.303;390.966;352.176;397.914;;;;;;;;;;;14.8;14.6;13.1;13.9;15.8;18.3;15.3;12.6;12.4;20.7
62002033.0;62000151.0;PRT08;1.0;244.0;1.0;5.0;0.3778;1.0436;0.4752;3.0;-0.4928;-1.4551;3.0;1702.0;168.0;1.0;10.131;1.2727;1.6863;-0.8314;-0.4289;0.6832;5.0;1.0;1.2352941176470589;51.35294117647059;28.058823529411764;0.7647058823529411;314.48;421.861;364.095;376.136;439.339;341.533;358.489;404.873;412.338;358.87;;;;;;;;;;;25.8;23.5;27.4;22.4;19.4;27.7;25.8;28.6;27.1;35.2
62002034.0;62000163.0;PRT07;1.0;354.0;0.0;5.0;0.214;-1.228;-2.5463;10.0;0.6315;0.8245;3.0;3532.0;353.5;0.0;9.9915;1.5598;1.529;0.44;-0.5756;0.2792;2.0;1.0;1.1666666666666667;52.22222222222222;27.88888888888889;0.6111111111111112;393.462;328.699;437.591;447.48;424.33;411.789;438.612;480.666;421.007;424.838;;;;;;;;;;;37.6;31.2;24.4;38.2;37.3;25.5;31.8;43.1;33.0;30.3
62002035.0;62000179.0;PRT08;2.0;344.0;0.0;4.0;-1.2808;0.9521;-0.2002;10.0;-0.3689;1.1245;3.0;2882.0;278.0;1.0;10.3669;-0.0879;-1.4212;-0.8314;-0.9552;0.1896;3.0;1.0;1.35;54.45;30.45;0.7727272727272727;563.535;568.002;546.93;548.217;555.593;621.132;524.289;592.132;595.236;553.938;;;;;;;;;;;40.6;33.2;49.9;45.7;36.7;45.5;45.8;38.0;42.2;49.9
62002036.0;62000096.0;PRT07;1.0;344.0;0.0;5.0;-1.6408;1.1235;-1.0885;7.0;-0.243;0.2202;3.0;1284.0;211.0;0.9858;6.0853;0.592;-0.6483;-0.0337;-0.1008;-1.1434;5.0;1.0;1.3333333333333333;52.93333333333333;25.933333333333334;0.6666666666666666;403.772;373.341;446.515;399.579;389.776;466.186;362.329;422.902;408.779;375.327;;;;;;;;;;;38.3;37.6;29.1;41.3;35.7;30.9;32.4;43.7;27.8;38.7
62002037.0;62000128.0;PRT08;2.0;344.0;0.0;9.0;0.958;-0.391;0.3523;10.0;0.1918;1.3972;3.0;1812.0;196.5;0.0153;9.2214;0.8307;-0.3123;-0.8314;0.8462;0.6649;5.0;1.0;1.3636363636363635;54.22727272727273;28.636363636363637;0.8181818181818182;420.252;498.977;418.482;461.496;453.566;484.795;458.341;471.445;459.959;471.262;;;;;;;;;;;46.2;49.8;49.5;46.4;53.7;43.1;46.3;48.2;47.7;48.2
62002038.0;62000044.0;PRT10;2.0;344.0;0.0;10.0;-0.5459;-0.1122;0.3146;10.0;-1.2155;-0.3252;3.0;2190.0;286.0;1.0;7.6573;4.0442;2.9595;;;;;;1.434782608695652;51.041666666666664;24.041666666666668;0.7916666666666666;500.83;418.829;464.896;483.935;442.559;455.131;529.163;461.499;445.685;433.34;;;;;;;;;;;39.4;37.3;39.9;39.3;35.5;36.2;23.1;38.9;26.2;25.4
